id,room_id/id,noted_date,temp,out/in,minute
__export__.temp_log_196127_522915e3,Room Admin,2018-12-08 09:29:00,41,Out,2018-12-08 09:29:00
__export__.temp_log_196128_be0919cf,Room Admin,2018-12-08 09:29:00,41,Out,2018-12-08 09:29:00
__export__.temp_log_196108_4a983c7e,Room Admin,2018-12-08 09:25:00,42,Out,2018-12-08 09:25:00
__export__.temp_log_196108_4a983c7e,Room Admin,2018-12-08 09:25:00,42,Out,2018-12-08 09:25:00
__export__.temp_log_196094_38501388,Room Admin,2018-12-08 09:21:00,41,Out,2018-12-08 09:21:00
__export__.temp_log_196093_f0b3b649,Room Admin,2018-12-08 09:21:00,41,Out,2018-12-08 09:21:00
__export__.temp_log_196085_1e3e9e86,Room Admin,2018-12-08 09:19:00,42,Out,2018-12-08 09:19:00
__export__.temp_log_196086_ab9ff962,Room Admin,2018-12-08 09:19:00,42,Out,2018-12-08 09:19:00
__export__.temp_log_196080_911f4eef,Room Admin,2018-12-08 09:17:00,41,Out,2018-12-08 09:17:00
__export__.temp_log_196079_7a0ef724,Room Admin,2018-12-08 09:17:00,41,Out,2018-12-08 09:17:00
__export__.temp_log_196056_de074bc3,Room Admin,2018-12-08 09:09:00,42,Out,2018-12-08 09:09:00
__export__.temp_log_196055_c4b4dac1,Room Admin,2018-12-08 09:09:00,42,Out,2018-12-08 09:09:00
__export__.temp_log_196048_e4e30610,Room Admin,2018-12-08 09:07:00,41,Out,2018-12-08 09:07:00
__export__.temp_log_196047_da4d3971,Room Admin,2018-12-08 09:07:00,41,Out,2018-12-08 09:07:00
__export__.temp_log_196038_b58a003f,Room Admin,2018-12-08 09:04:00,42,Out,2018-12-08 09:04:00
__export__.temp_log_196034_d592acf9,Room Admin,2018-12-08 09:03:00,42,Out,2018-12-08 09:03:00
__export__.temp_log_196016_20a6e7e2,Room Admin,2018-12-08 08:57:00,41,Out,2018-12-08 08:57:00
__export__.temp_log_196010_238d7f2d,Room Admin,2018-12-08 08:53:00,42,Out,2018-12-08 08:53:00
__export__.temp_log_196011_5a5158ba,Room Admin,2018-12-08 08:53:00,42,Out,2018-12-08 08:53:00
__export__.temp_log_195968_c5929341,Room Admin,2018-12-08 08:41:00,41,Out,2018-12-08 08:41:00
__export__.temp_log_195943_2f2b26fa,Room Admin,2018-12-08 08:33:00,41,Out,2018-12-08 08:33:00
__export__.temp_log_195942_5e1c858f,Room Admin,2018-12-08 08:33:00,41,Out,2018-12-08 08:33:00
__export__.temp_log_195933_53aa6200,Room Admin,2018-12-08 08:31:00,41,Out,2018-12-08 08:31:00
__export__.temp_log_195932_988cb49a,Room Admin,2018-12-08 08:31:00,41,Out,2018-12-08 08:31:00
__export__.temp_log_195919_2c731f8f,Room Admin,2018-12-08 08:27:00,41,Out,2018-12-08 08:27:00
__export__.temp_log_195918_0b04645d,Room Admin,2018-12-08 08:27:00,41,Out,2018-12-08 08:27:00
__export__.temp_log_195913_12036871,Room Admin,2018-12-08 08:25:00,41,Out,2018-12-08 08:25:00
__export__.temp_log_195912_d1225202,Room Admin,2018-12-08 08:25:00,41,Out,2018-12-08 08:25:00
__export__.temp_log_195906_25300ce4,Room Admin,2018-12-08 08:23:00,41,Out,2018-12-08 08:23:00
__export__.temp_log_195907_a93e5292,Room Admin,2018-12-08 08:23:00,41,Out,2018-12-08 08:23:00
__export__.temp_log_195841_4309bd29,Room Admin,2018-12-08 08:04:00,41,Out,2018-12-08 08:04:00
__export__.temp_log_195835_c9e1c966,Room Admin,2018-12-08 08:03:00,41,Out,2018-12-08 08:03:00
__export__.temp_log_195797_2c2a633b,Room Admin,2018-12-08 07:52:00,41,Out,2018-12-08 07:52:00
__export__.temp_log_195793_f138a506,Room Admin,2018-12-08 07:51:00,41,Out,2018-12-08 07:51:00
__export__.temp_log_191932_7e9fed64,Room Admin,2018-12-07 08:54:00,41,Out,2018-12-07 08:54:00
__export__.temp_log_191930_a99610df,Room Admin,2018-12-07 08:54:00,41,Out,2018-12-07 08:54:00
__export__.temp_log_191924_626d1163,Room Admin,2018-12-07 08:52:00,41,Out,2018-12-07 08:52:00
__export__.temp_log_191923_7d012d35,Room Admin,2018-12-07 08:52:00,41,Out,2018-12-07 08:52:00
__export__.temp_log_191868_ca0a8260,Room Admin,2018-12-07 08:18:00,41,Out,2018-12-07 08:18:00
__export__.temp_log_191867_985737ba,Room Admin,2018-12-07 08:18:00,41,Out,2018-12-07 08:18:00
__export__.temp_log_191863_f7379482,Room Admin,2018-12-07 08:16:00,41,Out,2018-12-07 08:16:00
__export__.temp_log_191861_7c7ce460,Room Admin,2018-12-07 08:16:00,41,Out,2018-12-07 08:16:00
__export__.temp_log_191849_fba95679,Room Admin,2018-12-07 08:10:00,41,Out,2018-12-07 08:10:00
__export__.temp_log_191850_08acf817,Room Admin,2018-12-07 08:10:00,41,Out,2018-12-07 08:10:00
__export__.temp_log_191840_c2ecf51a,Room Admin,2018-12-07 08:08:00,41,Out,2018-12-07 08:08:00
__export__.temp_log_191839_2b2ae7a6,Room Admin,2018-12-07 08:08:00,41,Out,2018-12-07 08:08:00
__export__.temp_log_191831_2d2c8d3f,Room Admin,2018-12-07 08:06:00,41,Out,2018-12-07 08:06:00
__export__.temp_log_191832_39ce0649,Room Admin,2018-12-07 08:06:00,41,Out,2018-12-07 08:06:00
__export__.temp_log_191823_aaf6656a,Room Admin,2018-12-07 08:04:00,41,Out,2018-12-07 08:04:00
__export__.temp_log_191824_acc46933,Room Admin,2018-12-07 08:04:00,41,Out,2018-12-07 08:04:00
__export__.temp_log_191811_ebf445f2,Room Admin,2018-12-07 08:00:00,41,Out,2018-12-07 08:00:00
__export__.temp_log_191812_b7795b8b,Room Admin,2018-12-07 08:00:00,41,Out,2018-12-07 08:00:00
__export__.temp_log_189157_dac74e52,Room Admin,2018-12-06 13:18:00,41,Out,2018-12-06 13:18:00
__export__.temp_log_189156_1aafe201,Room Admin,2018-12-06 13:18:00,41,Out,2018-12-06 13:18:00
__export__.temp_log_189075_0e8491bd,Room Admin,2018-12-06 12:44:00,41,Out,2018-12-06 12:44:00
__export__.temp_log_189076_41824026,Room Admin,2018-12-06 12:44:00,41,Out,2018-12-06 12:44:00
__export__.temp_log_189052_3c491d35,Room Admin,2018-12-06 12:36:00,41,Out,2018-12-06 12:36:00
__export__.temp_log_189051_abfba189,Room Admin,2018-12-06 12:36:00,41,Out,2018-12-06 12:36:00
__export__.temp_log_189025_b0fc562e,Room Admin,2018-12-06 12:26:00,41,Out,2018-12-06 12:26:00
__export__.temp_log_189026_5245b6d4,Room Admin,2018-12-06 12:26:00,41,Out,2018-12-06 12:26:00
__export__.temp_log_189009_7be941f0,Room Admin,2018-12-06 12:14:00,41,Out,2018-12-06 12:14:00
__export__.temp_log_189010_7d3da1ba,Room Admin,2018-12-06 12:14:00,41,Out,2018-12-06 12:14:00
__export__.temp_log_188967_db1d42fc,Room Admin,2018-12-06 12:00:00,41,Out,2018-12-06 12:00:00
__export__.temp_log_188968_cd4b38e2,Room Admin,2018-12-06 12:00:00,41,Out,2018-12-06 12:00:00
__export__.temp_log_188961_74e7b3df,Room Admin,2018-12-06 11:56:00,42,Out,2018-12-06 11:56:00
__export__.temp_log_188962_a7cffe0d,Room Admin,2018-12-06 11:56:00,42,Out,2018-12-06 11:56:00
__export__.temp_log_188954_3364ef39,Room Admin,2018-12-06 11:54:00,41,Out,2018-12-06 11:54:00
